Brand_Name_s__s,Equipment_Family_s,Nominal_Speed_of_Rotation_in_Revolutions_per_Minute__rpm__d,Operating_Mode_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model__Bare_Pump__m,Individual_Model_Number__Driver___If_Applicable_m,Individual_Model_Number__Controls___If_Applicable_m,Alternate_Single_Individual_Model_Number_for_Bare_Pump_with_Driver_or_Bare_Pump_with_Driver_and_Controls_m,Pump_Configuration_s,Pump_Energy_Index__PEI__as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Pump_Total_Head_in_Feet_at_Best_Efficiency_Point__BEP__and_Nominal_Speed_as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Volume_per_Unit_Time__Flow_Rate__in_Gallons_per_Minute__gpm__at_Best_Efficiency_Point__BEP__and_Nominal_Speed_d,Full_Impeller_Diameter_in_Inches__in___d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_EM_Pumps___Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Was_the_PEICL_Calculated_or_Tested__s,For_EM_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_25__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_50__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_75__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input__measured_as_the_input_power_to_the_driver_and_controls__at_100__Load_Point__Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_C_and_NC_Pumps___Was_the_PEIVL_Calculated_or_Tested__s,For_C_or_NC_Pumps___Variable_Load_Pump_Energy_Rating__PERVL___Optional__d,Pump_Efficiency_at_Best_Efficiency_Point__BEP__in_percent______Optional__d,For_RSV_and_ST_Pumps__the_Number_of_Stages_Tested_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Shipco,End suction close-coupled,1800.0,Variable Load,133AW18.VL,133AW18,133AW18.D,133AW18.C,,C-pump sold with a motor & continuous controls,0.67,77.5,384.5,9.375,,,,,,,,,,2.095,4.03,8.16,14.325,T,7.15,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,130AW36.VL,130AW36,130AW36.D,130AW36.C,,C-pump sold with a motor & continuous controls,0.64,246.5,370.0,9.375,,,,,,,,,,5.285,12.07,25.555,46.73,T,22.4,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,129AW36.VL,129AW36,129AW36.D,129AW36.C,,C-pump sold with a motor & continuous controls,0.63,302.5,227.0,9.375,,,,,,,,,,4.97,11.265,22.725,40.545,T,19.9,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,129D36.VL,129D36,129D36.D,129D36.C,,C-pump sold with a motor & continuous controls,0.59,318.5,226.5,9.375,,,,,,,,,,4.465,10.61,22.985,40.065,T,19.5,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,128D36,128D36,,,,BP-bare pump,0.95,335.5,229.0,9.375,30.555,35.24,36.74,34.2,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,1800.0,Variable Load,128D18.VL,128D18,128D18.D,128D18.C,,C-pump sold with a motor & continuous controls,0.54,83.5,107.0,9.375,,,,,,,,,,0.825,1.505,2.875,5.21,T,2.61,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,127H36.VL,127H36,127H36.D,127H36.C,,C-pump sold with a motor & continuous controls,0.57,120.5,81.5,5.875,,,,,,,,,,0.95,1.65,3.11,5.6,T,2.83,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,127H36,127H36,,,,BP-bare pump,0.92,120.5,81.5,5.875,4.135,4.685,4.84,4.56,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,121AW36.VL,121AW36,121AW36.D,121AW36.C,,C-pump sold with a motor & continuous controls,0.5,209.5,132.5,7.375,,,,,,,,,,1.825,3.68,7.635,14.37,T,6.88,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,121AW36,121AW36,,,,BP-bare pump,0.94,209.5,132.5,7.375,11.335,13.24,13.86,12.8,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,1800.0,Variable Load,121D18.VL,121D18,121D18.D,121D18.C,,C-pump sold with a motor & continuous controls,0.53,54.5,55.5,7.375,,,,,,,,,,0.34,0.57,1.045,1.89,T,0.96,,,No,No
Shipco,End suction close-coupled,1800.0,Constant load,121D18,121D18,,,,BP-bare pump,0.93,54.5,55.5,7.375,1.51,1.735,1.8,1.68,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,117D36,117D36,,,,BP-bare pump,0.81,136.5,50.5,5.875,3.22,3.76,3.9,3.63,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,116H36,116H36,,,,BP-bare pump,0.94,80.5,48.5,4.875,1.825,2.07,2.145,2.02,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,116D36.VL,116D36,116D36.D,116D36.C,,C-pump sold with a motor & continuous controls,0.54,83.0,52.0,4.875,,,,,,,,,,0.435,0.735,1.375,2.475,T,1.26,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,114D36,114D36,,,,BP-bare pump,0.94,128.0,176.0,5.875,7.805,8.89,9.25,8.65,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,113D36.VL,113D36,113D36.D,113D36.C,,C-pump sold with a motor & continuous controls,0.52,125.0,121.5,5.875,,,,,,,,,,1.025,1.95,3.92,7.23,T,3.53,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/8x8-13/4P,850CC/8x8-13/4P,,,,BP-bare pump,0.97,97.66578662,3199.120133,12.875,89.87071496,90.66597398,88.38919834,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,1800.0,Constant Load,850FM/8x6-14T/4P,850FM/8x6-14T/4P,,,,BP-bare pump,0.95,188.6807562,1765.755181,14.0,84.25817673,97.79486174,102.8983974,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/8x6-14T/4P,850CC/8x6-14T/4P,,,,BP-bare pump,0.95,188.6807562,1765.755181,14.0,84.25817673,97.79486174,102.8983974,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/8x6-10/4P,850CC/8x6-10/4P,,,,BP-bare pump,0.95,69.07871598,1092.624186,9.625,20.1425946,21.93952007,22.28426185,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,1800.0,Constant Load,850FM/6x5-14T/4P,850FM/6x5-14T/4P,,,,BP-bare pump,0.96,174.7429713,963.8495295,13.438,45.56936532,53.19544443,56.14253821,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,1800.0,Constant Load,850FM/5x4-12T/4P,850FM/5x4-12T/4P,,,,BP-bare pump,0.99,133.9074752,497.5981466,11.5,18.57151284,21.95851005,23.29172773,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,3600.0,Constant Load,850FM/5x4-10T/2P,850FM/5x4-10T/2P,,,,BP-bare pump,0.95,256.966032,1004.359313,8.625,69.370477,77.75348671,80.35319214,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,3600.0,Constant Load,850CC/5x4-10T/2P,850CC/5x4-10T/2P,,,,BP-bare pump,0.96,256.966032,1004.359313,8.625,69.370477,77.75348671,80.35319214,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,1800.0,Constant Load,850FM/5x4-10/4P,850FM/5x4-10/4P,,,,BP-bare pump,0.94,70.75345963,518.4930343,9.125,9.960663056,11.10196382,11.45862233,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/5x4-10/4P,850CC/5x4-10/4P,,,,BP-bare pump,0.95,70.75345963,518.4930343,9.125,9.960663056,11.10196382,11.45862233,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/4x3-10/4P,850CC/4x3-10/4P,,,,BP-bare pump,0.94,76.90754632,336.6221366,9.25,7.176293722,8.330144158,8.744355477,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,3600.0,Constant Load,850FM/3x2-8M/2P,850FM/3x2-8M/2P,,,,BP-bare pump,0.92,208.3462994,190.4294168,7.5,12.7702113,14.83689226,15.55090098,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,3600.0,Constant Load,850CC/3x2-8M/2P,850CC/3x2-8M/2P,,,,BP-bare pump,0.93,208.3462994,190.4294168,7.5,12.7702113,14.83689226,15.55090098,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,3600.0,Constant Load,850FM/3x1.5-10T/2P,850FM/3x1.5-10T/2P,,,,BP-bare pump,0.92,415.3065797,323.4054429,9.92,45.89922639,53.11800546,55.77695589,,,,,,,,,,,,,,,No,No
Griswold,End suction close-coupled,1800.0,Constant load,850CC/3x1.5-10/4P,850CC/3x1.5-10/4P,,,,BP-bare pump,0.93,106.6560144,140.0667205,9.92,5.619060433,6.519701465,6.873920794,,,,,,,,,,,,,,,No,No
Griswold,End suction frame mounted/own bearings,1800.0,Constant Load,850FM/3x2-8/4P,850FM/3x2-8/4P,,,,BP-bare pump,0.9,58.52211411,145.5746573,7.937,2.554122062,2.96040583,3.094426667,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,93200,,,,BP-bare pump,0.83,88.03,52.0,5.875,1.64,1.77,1.78,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,93150,,,,BP-bare pump,0.75,88.03,33.0,5.315,1.22,1.27,1.31,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,93100,,,,BP-bare pump,0.73,88.03,27.0,5.325,1.09,1.14,1.16,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,92300,,,,BP-bare pump,0.75,113.19,54.0,6.108,2.03,2.26,2.36,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,92250,,,,BP-bare pump,0.99,75.45,54.0,6.057,1.81,1.91,1.93,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,92200,,,,BP-bare pump,0.83,88.03,52.0,5.875,1.64,1.77,1.78,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,End suction close-coupled,3600.0,Constant Load,9****,92150,,,,BP-bare pump,0.75,88.03,33.0,5.315,1.22,1.27,1.31,,,,,,,,,,,,,,,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,300S**HP**,300S30HP66,,,,BP-bare pump,0.9,385.88,308.0,4.14,38.72,39.19,39.12,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,300S**HP**,300S20HP66,,,,BP-bare pump,0.9,385.88,308.0,4.14,38.72,39.19,39.12,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,300S**HP**,300S15HP66,,,,BP-bare pump,0.9,385.88,308.0,4.14,38.72,39.19,39.12,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,300S**HP**,300S10HP66,,,,BP-bare pump,0.9,385.88,308.0,4.14,38.72,39.19,39.12,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,300S**HP**,300S5HP64,,,,BP-bare pump,0.9,385.88,308.0,4.14,38.72,39.19,39.12,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S60HP66,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S50HP66,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S40HP66,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S30HP66,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S7.5HP66,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,230S*HP**,230S5HP64,,,,BP-bare pump,0.88,425.1,243.0,4.138,30.64,32.92,33.17,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,150S**HP**,150S50HP66,,,,BP-bare pump,0.9,366.8,162.0,3.701,18.92,19.63,19.79,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,150S**HP**,150S25HP66,,,,BP-bare pump,0.9,366.8,162.0,3.701,18.92,19.63,19.79,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,150S**HP**,150S20HP66,,,,BP-bare pump,0.9,366.8,162.0,3.701,18.92,19.63,19.79,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,150S**HP**,150S10HP66,,,,BP-bare pump,0.9,366.8,162.0,3.701,18.92,19.63,19.79,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,150S**HP**,150S7.5HP66,,,,BP-bare pump,0.9,366.8,162.0,3.701,18.92,19.63,19.79,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,90S**HP**,90S20HP66,,,,BP-bare pump,0.87,378.09,93.0,3.496,11.0,11.82,12.13,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,90S**HP**,90S15HP66,,,,BP-bare pump,0.87,378.09,93.0,3.496,11.0,11.82,12.13,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,90S**HP**,90S7.5HP66,,,,BP-bare pump,0.87,378.09,93.0,3.496,11.0,11.82,12.13,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,90S**HP**,90S5HP64,,,,BP-bare pump,0.87,378.09,93.0,3.496,11.0,11.82,12.13,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***H,26750H,,,,BP-bare pump,0.94,300.14,77.0,3.157,7.93,8.77,8.93,,,,,,,,,,,,,,12.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***H,26500H,,,,BP-bare pump,0.94,300.14,77.0,3.157,7.93,8.77,8.93,,,,,,,,,,,,,,12.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***G,261000G,,,,BP-bare pump,0.99,192.87,45.0,2.957,3.42,3.74,3.74,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***G,26750G,,,,BP-bare pump,0.99,192.87,45.0,2.957,3.42,3.74,3.74,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***G,26200G,,,,BP-bare pump,0.99,192.87,45.0,2.957,3.42,3.74,3.74,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***G,26150G,,,,BP-bare pump,0.99,192.87,45.0,2.957,3.42,3.74,3.74,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***M,26300M,,,,BP-bare pump,0.86,198.83,26.0,2.874,1.93,2.12,2.14,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***M,26200M,,,,BP-bare pump,0.86,198.83,26.0,2.874,1.93,2.12,2.14,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***M,26150M,,,,BP-bare pump,0.86,198.83,26.0,2.874,1.93,2.12,2.14,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***M,26100M,,,,BP-bare pump,0.86,198.83,26.0,2.874,1.93,2.12,2.14,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,26***M,26075M,,,,BP-bare pump,0.86,198.83,26.0,2.874,1.93,2.12,2.14,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***T,24300T,,,,BP-bare pump,1.0,173.46,87.0,3.055,5.93,6.24,6.25,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***Q,24750Q,,,,BP-bare pump,0.96,227.7,46.0,3.059,3.98,4.29,4.41,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***Q,24200Q,,,,BP-bare pump,0.96,227.7,46.0,3.059,3.98,4.29,4.41,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***S,241000S,,,,BP-bare pump,0.95,171.68,54.0,3.063,3.51,3.73,3.72,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***S,24750S,,,,BP-bare pump,0.95,171.68,54.0,3.063,3.51,3.73,3.72,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***S,24200S,,,,BP-bare pump,0.95,171.68,54.0,3.063,3.51,3.73,3.72,,,,,,,,,,,,,,9.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***G,24750G,,,,BP-bare pump,0.97,256.1,44.0,3.094,4.34,4.76,4.83,,,,,,,,,,,,,,11.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***G,24500G,,,,BP-bare pump,0.97,256.1,44.0,3.094,4.34,4.76,4.83,,,,,,,,,,,,,,11.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***G,24200G,,,,BP-bare pump,0.97,256.1,44.0,3.094,4.34,4.76,4.83,,,,,,,,,,,,,,11.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***R,241000R,,,,BP-bare pump,0.81,196.3,35.0,3.051,2.33,2.44,2.42,,,,,,,,,,,,,,10.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***R,24300R,,,,BP-bare pump,0.81,196.3,35.0,3.051,2.33,2.44,2.42,,,,,,,,,,,,,,10.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***R,24200R,,,,BP-bare pump,0.81,196.3,35.0,3.051,2.33,2.44,2.42,,,,,,,,,,,,,,10.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***R,24150R,,,,BP-bare pump,0.81,196.3,35.0,3.051,2.33,2.44,2.42,,,,,,,,,,,,,,10.0,No,No
A.Y. McDonald Mfg. Co.,Submersible turbine,3600.0,Constant Load,24***R,24100R,,,,BP-bare pump,0.81,196.3,35.0,3.051,2.33,2.44,2.42,,,,,,,,,,,,,,10.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V200,17104V200,,,,BP-bare pump,0.92,235.06,164.0,4.654,11.86,13.2,13.7,,,,,,,,,,,,,,3.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V200,17065V200,,,,BP-bare pump,0.92,235.06,164.0,4.654,11.86,13.2,13.7,,,,,,,,,,,,,,3.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V140,17060V140,,,,BP-bare pump,0.96,242.55,110.0,4.122,8.81,9.96,10.33,,,,,,,,,,,,,,4.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V120,17142V120,,,,BP-bare pump,0.94,159.67,98.0,4.114,5.19,5.73,5.87,,,,,,,,,,,,,,3.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V080,17104V080,,,,BP-bare pump,0.89,137.52,50.0,3.638,2.39,2.67,2.74,,,,,,,,,,,,,,3.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V080,17084V080,,,,BP-bare pump,0.89,137.52,50.0,3.638,2.39,2.67,2.74,,,,,,,,,,,,,,3.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V040,17110V040,,,,BP-bare pump,0.82,105.38,32.0,2.874,1.14,1.25,1.3,,,,,,,,,,,,,,4.0,No,No
A.Y. McDonald Mfg. Co.,"Radially split, multi-stage, vertical, in-line casing diffuser",3600.0,Constant Load,17***V040,17058V040,,,,BP-bare pump,0.82,105.38,32.0,2.874,1.14,1.25,1.3,,,,,,,,,,,,,,4.0,No,No
Armstrong,In-line,3600.0,Constant Load,4360-1.5B-2P-BP,4360-1.5B-2P-BP,,,,BP-bare pump,0.98,97.24,99.13,5.25,4.2,4.74,4.9,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4360-2D-2P-BP,4360-2D-2P-BP,,,,BP-bare pump,0.98,189.67,182.34,7.0,13.73,15.92,16.71,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4300-1.5x1.5x6-2P-BP,4300-1.5x1.5x6-2P-BP,,,,BP-bare pump,0.96,128.0,79.97,6.188,5.0,5.61,5.8,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4300-2x2x6-2P-BP,4300-2x2x6-2P-BP,,,,BP-bare pump,0.96,149.22,172.69,6.18,9.96,11.23,11.8,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4300-2x2x6-4P-BP,4300-2x2x6-4P-BP,,,,BP-bare pump,0.99,37.39,88.69,6.18,1.35,1.54,1.63,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4300-3x3x6-2P-BP,4300-3x3x6-2P-BP,,,,BP-bare pump,0.94,115.94,375.71,6.18,14.39,15.93,16.52,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4380-3x3x6-2P-BP,4380-3x3x6-2P-BP,,,,BP-bare pump,0.94,115.94,375.71,6.18,14.39,15.93,16.52,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4380-3x3x6-4P-BP,4380-3x3x6-4P-BP,,,,BP-bare pump,0.95,28.99,187.86,6.18,1.88,2.08,2.16,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4300-4x4x6-2P-BP,4300-4x4x6-2P-BP,,,,BP-bare pump,0.98,125.88,608.56,6.18,23.98,27.72,29.01,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4380-4x4x6-2P-BP,4380-4x4x6-2P-BP,,,,BP-bare pump,0.98,125.88,608.56,6.18,23.98,27.72,29.01,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4300-6x6x6-4P-BP,4300-6x6x6-4P-BP,,,,BP-bare pump,0.94,24.45,671.14,5.94,5.44,5.72,5.85,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4380-6x6x6-4P-BP,4380-6x6x6-4P-BP,,,,BP-bare pump,0.94,24.45,671.14,5.94,5.44,5.72,5.85,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4380-1.5x1.5x8-2P-BP,4380-1.5x1.5x8-2P-BP,,,,BP-bare pump,0.97,224.71,164.29,8.188,16.09,18.22,18.92,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4300-2x2x8-2P-BP,4300-2x2x8-2P-BP,,,,BP-bare pump,0.92,254.92,278.15,8.188,25.14,29.41,30.82,,,,,,,,,,,,,,,No,No
Armstrong,In-line,3600.0,Constant Load,4380-3x3x8-2P-BP,4380-3x3x8-2P-BP,,,,BP-bare pump,0.93,236.32,565.14,8.188,40.93,47.18,49.32,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4300-3x3x8-4P-BP,4300-3x3x8-4P-BP,,,,BP-bare pump,0.94,62.72,305.44,8.188,5.95,6.92,7.22,,,,,,,,,,,,,,,No,No
Armstrong,In-line,1800.0,Constant Load,4380-3x3x8-4P-BP,4380-3x3x8-4P-BP,,,,BP-bare pump,0.94,62.72,305.44,8.188,5.95,6.92,7.22,,,,,,,,,,,,,,,No,No
