,HeatingCOP,CoolingCOP,AirLeakageLevel,output
0,0.7462945511977557,4.685761621385037,1.9982566123877348,153.76769473461115
1,0.7476759326232598,4.692784249373654,1.9917769190912933,153.64335318892023
2,0.7472295455834899,4.669401401104858,2.011252312723502,153.9760636172855
3,0.7517423645674776,4.682079197606195,1.9822572750110148,153.53912648921133
4,0.7444137075196111,4.686650347637618,2.001903090788081,153.82980721651893
5,0.7492626492159946,4.681805927406538,1.9964405111300831,153.7252216615795
6,0.7550171896676892,4.666030387520457,2.0101073258260245,153.86715040792205
7,0.7504103202249187,4.687449749977714,1.997782839478721,153.69439017509262
8,0.7390545839876919,4.679199473580007,2.005354085043102,153.98436666683426
9,0.7377097800872419,4.707119510859658,1.9921754916274788,153.721497067698
10,0.7447676536159086,4.681274675781271,2.000208825783873,153.83360529973183
11,0.7467628526983375,4.6754508104715775,2.0089680503295795,153.92767427451582
12,0.7238121775250954,4.683594372832213,2.003300237460278,154.17286016958732
13,0.7301404066698991,4.691754384941528,2.007051484368179,154.07506780765692
14,0.7358009317811094,4.68974735698393,1.9991910025153614,153.91310717180806
15,0.7414986012758802,4.695432152463862,1.9967800499750512,153.7735379681248
16,0.7307820297911473,4.685637566340424,1.98903343130464,153.89922439440403
17,0.7490711354530123,4.687904620323658,2.0195284024666655,153.94471453877796
18,0.7616257820848122,4.67809215091336,1.9910166109822982,153.5119905624813
19,0.7241141816779846,4.673103713704953,2.01396038420952,154.3399617248856
20,0.7431892115774538,4.676814085952613,1.999973850245902,153.8769064391517
21,0.7583703839664092,4.680517498886837,1.987414832253524,153.50774342406078
22,0.7339832851062936,4.696315909147661,2.0178455023090422,154.11216960713224
23,0.7641270673441337,4.691108144785211,1.9961144056158526,153.46421812584052
24,0.7413660107058488,4.692505338317397,1.9763663048788402,153.57252480147062
25,0.740311987206284,4.671624889390052,2.008068963786638,154.03332415120573
26,0.7409520323363188,4.70064131462836,2.0096305660199953,153.89431542290205
27,0.7450790113293609,4.677121836525079,2.0036299954352565,153.88669545482236
28,0.7486117916792348,4.6893348508395025,2.0009818792480636,153.7449559907323
29,0.7542821769743382,4.661387641629748,1.995567130095193,153.74771901654415
30,0.7513408203129319,4.686553508422044,1.9804128971295971,153.50281423517248
31,0.7529434293567308,4.674006136625518,1.9888460493396733,153.63208808138924
32,0.743697140963384,4.678684261698958,1.9849474605388175,153.69980036953052
33,0.7575311651407722,4.683676960981832,1.998966077327596,153.62406882286382
34,0.7382763082619173,4.672050408044088,2.000469534744384,153.9793769005159
35,0.7455271710323498,4.68282699270454,2.003916702569002,153.85430652521794
36,0.7373972356795795,4.680182153385276,2.004622554965731,153.9963620363821
37,0.7556971078509336,4.6852093349246555,1.9943321571333779,153.5936974746869
38,0.733298116540563,4.680882028576874,2.0110622847291793,154.12554356427194
39,0.7570654867873329,4.690383913368145,1.997158229164211,153.57783230250587
40,0.7364457244443462,4.697134845201741,2.0121933135379195,154.0079796902364
41,0.7318530498309187,4.677527162874747,1.9898927150330354,153.9334605040659
42,0.7275144066820614,4.693696873536553,2.00232946915444,154.0537479097591
43,0.7596581100611471,4.688622817840424,1.990769825203255,153.48360502294997
44,0.739834294400514,4.6881833485855,2.002965720536791,153.90142967623817
45,0.7506063913526166,4.679718653222586,1.9940925659030277,153.69158689257577
46,0.7480717182993655,4.673891555698853,1.98703505556974,153.68314981070728
47,0.7522938413973845,4.682594388163024,2.0058282676080386,153.77708257860564
48,0.7354058558209591,4.676195574070821,2.006699344734659,154.06927810816217
49,0.7549304114362927,4.667458516126876,1.9933382261752828,153.68417469100032
50,0.742761915741268,4.684456460212829,2.016214583899225,154.02021556221817
51,0.7497913467873748,4.694503903554047,2.029507099406674,154.00943419185967
52,0.7387592583785432,4.664835193185453,2.0131202551382863,154.14625339946076
53,0.753634492043656,4.69952036850563,2.0072896987234468,153.68798335796833
54,0.7424067920038997,4.6699010635518166,1.9984901976871003,153.90761274726077
55,0.7671732430045886,4.697660686240775,1.9860631251416627,153.28585644042093
56,0.7342129334657561,4.684743104167738,1.9928695090044022,153.8936683286107
57,0.7458296972203348,4.6906064524134905,2.0013784675103534,153.78342825592796
58,0.7618847759255795,4.674879162987046,1.9952031014689313,153.5680473447819
59,0.7422842447626432,4.703028629819558,2.0050722496270295,153.8130833056589
